"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"55",0.0618000432676151,0.0608148275372497,0.0598444674863694,0.0588886824380814,0.0579471987615444,0.0570197762839327,0.0561062827371351,0.0552066029011483,0.0543206172354203,0.0534482039226363,0.0525892367649395,0.0517435867478689,0.050911166650055,0.0500919628738525,0.0492860339477068,0.0484934376842185,0.0477139631035777,0.0469472265841516,0.0461928013463112,0.0454503808817926,0.0447198804358218,0.0440013130371789,0.0432946686178398,0.0425998875971142,0.0419168622088477,0.0412454336892747,0.0405853676505764,0.0399364001001384,0.0392982617376952,0.0386706749006184,0.0380533650737641,0.0374460933150435,0.0368486578774774,0.0362608895828843,0.035682632312014,0.0351137301650947,0.0345540266131578,0.0340033608168855,0.0334615672047194,0.0329284836339844,0.0324039454887183,0.0318877890216129,0.0313798625511841,0.0308800202007949,0.03038811252187,0.0299039867586102
"60",0.0944663121345064,0.093039269930061,0.0916318079630953,0.090243545451568,0.0888741122096609,0.0875232136187199,0.0861908125495031,0.0848769034307118,0.0835814643411065,0.0823044634547311,0.0810458578238106,0.0798056178493034,0.0785838573503555,0.0773809156873656,0.0761973760112317,0.0750337303765299,0.0738895322898011,0.0727638869594816,0.0716558347135497,0.0705647305972866,0.0694905121076259,0.0684334021879618,0.0673935896162777,0.0663711472243935,0.0653660293576341,0.0643780516471299,0.0634068325061772,0.0624519070020943,0.0615127911798613,0.0605889701397132,0.0596799323729769,0.0587852447270416,0.0579045699847078,0.0570376615362017,0.05618431056381,0.0553443093982339,0.0545174375701725,0.0537034545804951,0.0529021027636128,0.0521131171963809,0.0513362179938348,0.0505711222585553,0.0498175981316605,0.0490754282505135,0.0483443653190806,0.0476241408431147
"65",0.139089417208389,0.137106022916486,0.135147900326135,0.133214715282721,0.131306138749144,0.129421926462385,0.127562135527409,0.125726830322872,0.123916045422108,0.122129800368041,0.120368103111872,0.118631033628269,0.116919017404311,0.115232893656746,0.113573987124809,0.111943248945916,0.110339633507887,0.108761519594525,0.107207390664924,0.105676218896407,0.104167799945522,0.102682379977333,0.101220214054407,0.0997814336514167,0.0983660363453436,0.0969738258920195,0.0956043777200005,0.0942571490538147,0.092931556301941,0.0916269377081098,0.0903426048526993,0.0890778960541349,0.0878322538524806,0.0866052582414062,0.0853965691729407,0.0842058643511961,0.0830327705918565,0.0818768727547556,0.0807377592892643,0.0796150143533747,0.0785082192287628,0.0774169813681812,0.0763410523736344,0.0752802127997069,0.0742341522284636,0.0732024891050068
"70",0.204788389703118,0.202078648285778,0.199400671576278,0.196754394944154,0.194139743210037,0.19155667382874,0.189005289499303,0.186485667663184,0.183997855593221,0.181541883348486,0.179117766975661,0.176725665498816,0.174366368093541,0.172041184573154,0.169752111203902,0.167500415156288,0.165284284637454,0.163101470439841,0.16095015209821,0.158829046084117,0.156737598983023,0.154675669307584,0.152643217743773,0.150640196154468,0.148666516897946,0.146721941192721,0.144806156732184,0.142918782748923,0.141059387798668,0.139227391422471,0.137422109605496,0.135642700189902,0.133888336380604,0.132158315227253,0.1304520564908,0.128769009681454,0.1271084827271,0.125469706840419,0.123851998162904,0.122254747173978,0.120677423815804,0.119119630593535,0.117581240576716,0.116062169305463,0.114562185682824,0.113080911617767
"75",0.295064927128293,0.29155869284399,0.288087596237869,0.284651955207675,0.281252063162228,0.277888168865608,0.274560425637052,0.271268982708374,0.268013978607346,0.264795532500449,0.261613743402884,0.2584688952189,0.255362096863538,0.252294905538611,0.249269585141803,0.246287560516471,0.243346800548223,0.240445044169827,0.237580614843587,0.234752241219898,0.231959012540771,0.229200162766627,0.226475119560218,0.223783484620219,0.221124960840168,0.218499224087,0.215906099680389,0.213345479596801,0.210817240229202,0.208321072341993,0.205856499640397,0.203422736999715,0.201018913750971,0.198644234593754,0.196298032661411,0.193979639996234,0.191688152026849,0.18942252869804,0.187181874559148,0.184965465927074,0.18277273195851,0.180603331263201,0.178457225760823,0.176334431128433,0.174234865079304,0.172158283814969
"80",0.422792393919648,0.418527228365366,0.414292297930437,0.410088183588835,0.405915441995609,0.401774572350512,0.397665935459748,0.393589906781552,0.38954685822233,0.385537141311664,0.381561086040718,0.377619171769332,0.373712540207726,0.369842570689083,0.366011120516069,0.362219500596868,0.358466513675553,0.354750769107163,0.351071196580194,0.347426880594577,0.343816970351955,0.340240540775225,0.336696870066642,0.333185486300047,0.329706078380881,0.326258412605671,0.322842470157117,0.319458375106659,0.316106279923258,0.312786198566048,0.309498001106921,0.306241312369224,0.303015671386313,0.299820645903532,0.296655876356545,0.293520953934751,0.290415259581105,0.287338028038042,0.284288580162597,0.281266375733842,0.27827096055689,0.275302044668389,0.272359532899291,0.269443399405562,0.266553626792259,0.26369010837699
"85",0.576869853429593,0.57228708083671,0.567718932663546,0.563165916465601,0.558628525707052,0.554107146655105,0.549601835882992,0.54511276662186,0.540640157011736,0.536184215601359,0.531745144005903,0.527323110261686,0.52291814762489,0.518530254402121,0.514159284928655,0.509804921048802,0.505467281437284,0.501146950461169,0.496844898185037,0.492562126083357,0.488299389659621,0.484057273587125,0.479836246876309,0.47563667795204,0.471458854055533,0.46730302314474,0.463169478268598,0.459058475239175,0.454970234509649,0.450904981888898,0.446862929232483,0.44284419879866,0.438848838882066,0.434876855004392,0.43092823973475,0.427003009458188,0.423101214076447,0.419222945825373,0.41536834842715,0.411537591934477,0.407730892338945,0.403948474271052,0.400190537144189,0.396457241941676,0.392748718964227,0.389065084079765
"90",0.738776628763317,0.734676935883237,0.730568052202201,0.726449564119853,0.722321043695038,0.718181953203727,0.714031413758939,0.709868673582479,0.705693030647432,0.701503775554099,0.697300202125201,0.693081287603621,0.688844686500314,0.684587758525722,0.680306950927001,0.675998976364188,0.671664924613607,0.667307516357622,0.662930402559267,0.658537804335399,0.654134110783015,0.649724335371457,0.645312703793384,0.640902358532538,0.636495503247911,0.632093464825493,0.627696680539903,0.62330484829599,0.618917322471215,0.614533576215357,0.610153241647789,0.605776135786133,0.601402242136257,0.597031632708761,0.592664416788966,0.588301077845395,0.583942538813814,0.579590147019662,0.575245290457915,0.570909276425502,0.566583598166396,0.562269679471,0.557968714775835,0.553681454435069,0.549408395119772,0.545150101369379
"95",0.856230700530969,0.853293882203032,0.850326781129706,0.847326538732933,0.844290216738641,0.841215586605018,0.83810304193032,0.834951817935083,0.831760644307175,0.828528231328124,0.825253090524919,0.821932479994728,0.818561497313876,0.815134772217636,0.811646307431731,0.808093106684151,0.804478508797225,0.800805624418217,0.797076483214273,0.793294729718363,0.789467457169278,0.785605339779893,0.78171791573596,0.777812695437883,0.773895183629902,0.769968340964234,0.76603183224768,0.762083310634658,0.758119594071966,0.754137472413972,0.750134003417336,0.74610726449975,0.742056551735514,0.737982258769254,0.733885180062426,0.729766910781905,0.725629817524091,0.72147704718254,0.717311253446134,0.713134583072355,0.70894942370228,0.70475802641256,0.700562493027516,0.696364002913039,0.692163164867944,0.68796076933712
"100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
