"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"45",0.0256338021894239,0.0254039059614356,0.0251760813693963,0.0249503098345082,0.024726572940433,0.0245048524319728,0.0242851302137588,0.0240673883489494,0.0238516090579365,0.0236377747170594,0.0234258678573293,0.0232158711631594,0.0230077674711067,0.0228015397686193,0.0225971711927946,0.0223946450291442,0.0221939447103677,0.0219950538151351,0.0217979560668785,0.0216026353325896,0.0214090756216279,0.0212172610845363,0.021027176011865,0.020838804833004,0.0206521321150235,0.0204671425615217,0.0202838210114829,0.0201021524381417,0.019922121947857,0.0197437147789922,0.0195669163008051,0.0193917120123448,0.019218087541358,0.0190460286432014,0.0188755211997633,0.018706551218393,0.0185391048308382,0.0183731682921879,0.018208727979829,0.0180457703924026,0.0178842821487756,0.0177242499870152,0.0175656607633722,0.0174085014512735,0.0172527591403202
"50",0.039785568402536,0.0394510255469491,0.0390176022100052,0.0384858164729904,0.0378572576030534,0.0371420725231245,0.0363792204560068,0.0356092125321937,0.0348684272828104,0.0341899965703182,0.0336035176362125,0.0331298583646402,0.0327668545199089,0.03247729685999,0.032207742151482,0.0319541262381405,0.0318136462634048,0.0318465783103532,0.0320212188414845,0.0322363087567169,0.0323455663452611,0.0322134638818678,0.0317367003206015,0.0308574333510081,0.0295701247198641,0.0279138433583952,0.0259552905887471,0.0237861747650918,0.0215090540175201,0.0192264835741124,0.0170309795761298,0.0149989096017617,0.0131788646537928,0.011593554477818,0.0102428799812722,0.00911214741364941,0.00817824301507197,0.00741439347058748,0.00679245349402558,0.00628517367357129,0.00586909846865369,0.00552492470574373,0.00523740692361696,0.00499477196446163,0.00478802694752811
"55",0.0629017401303958,0.0620765868564472,0.0611776749977515,0.0601996122743839,0.05913874816095,0.0579993260432938,0.0568100215349598,0.055601794183896,0.0544024537914496,0.0532371106477538,0.0521280615147181,0.0510923045837691,0.0501360933603081,0.0492479236835505,0.0484079056100367,0.0476255832861063,0.04695803431307,0.0464288957638451,0.046003957726552,0.0456150775521346,0.0451800809687427,0.0446332097979084,0.0439417738229729,0.0431251096606127,0.0422677974350999,0.0415193391576298,0.0410881617782767,0.0412486044178157,0.0423484408040957,0.0448255701770408,0.0492405665627762,0.0563211588283055,0.0670516737658537,0.0828066867362921,0.105546357408359,0.1380558909588,0.184256418498547,0.249583142264055,0.341587229418529,0.470913990381096,0.652526219076211,0.9074681821135,1.26577545924337,1.77037854070522,2.48188918756483
"60",0.0978712519535859,0.0963011409144238,0.0947084811128477,0.0930869540332655,0.0914308069905346,0.0897375902466542,0.0880156754780324,0.0862747293610893,0.084523676639993,0.0827709337577445,0.0810243397314737,0.0792926613331704,0.0775932748913344,0.075957473282595,0.0744290614274046,0.0730423879582147,0.0717777845979652,0.0705976534469887,0.0694697377846625,0.0683831758872654,0.067359324384383,0.0664329382946828,0.0656365921727236,0.0649978483464776,0.0645403040571461,0.0642844814219821,0.0642471159457356,0.0644466106006486,0.0649073980264208,0.0656595650307115,0.0667404683983901,0.0681967262656019,0.0700880394289707,0.0724893911403049,0.0754914295762157,0.0791981421642737,0.0837255038850774,0.0891990417068153,0.0957599709169608,0.103577168227572,0.112848606237806,0.123805829116562,0.136739865052617,0.15200412928052,0.169996580375971
"65",0.142472138901768,0.140668255852652,0.138799280335062,0.136853985466423,0.134821998733283,0.1326991239778,0.130501556277615,0.128246273068517,0.125948594989662,0.12362310428138,0.121283806473718,0.118943276597472,0.116606903569776,0.114272152240452,0.111931648589666,0.109600912966392,0.107324738084981,0.105118905014315,0.102962666137857,0.100827881587385,0.0986971258523075,0.0965657333889664,0.0944323191677857,0.092297064754101,0.0901618470168458,0.0880279118085271,0.0858867948051188,0.0837297460090529,0.0815500702573946,0.0793436385213265,0.0771103582517577,0.074861048226449,0.0726123973052365,0.0703832374611068,0.0681904391708198,0.0660486638455413,0.0639713994411348,0.0619700030362623,0.0600504067426334,0.058213660714185,0.0564571388074195,0.0547759938791797,0.0531636103154398,0.0516135976181166,0.0501212523100289
"70",0.214859823894392,0.209865413228464,0.205237460413724,0.200984898836086,0.197116275379607,0.193622760721313,0.190433551276089,0.187487198170058,0.184731581640207,0.18211773591606,0.179598221421737,0.177119409012662,0.174611018047433,0.171989790232885,0.169146259722747,0.165959049438846,0.16240804914805,0.158572555649081,0.15459716895947,0.150607595836014,0.146652229896656,0.142721228415452,0.138795199156018,0.134857410562017,0.130894502996206,0.126906349950094,0.122924006349983,0.118984280965212,0.11512130850457,0.111368663141704,0.107753617448395,0.104282851103562,0.100944930854569,0.097716567252611,0.0945727397853097,0.0914907056332455,0.0884530711581356,0.0854480737250517,0.0824728631710562,0.0795324049517374,0.0766375093637376,0.0738005357078573,0.0710298515196257,0.0683324937250052,0.0657161594599783
"75",0.303945047572794,0.297733418652563,0.292005409345274,0.286784085123341,0.282091759052828,0.277920946461368,0.27416111107483,0.270728456707026,0.267555653966768,0.264578382173141,0.261733005219718,0.258945257978048,0.256118980784892,0.253148234062264,0.249894837577185,0.246183550157167,0.241950944605306,0.237285101129663,0.232392629681724,0.22746701094647,0.222593778721189,0.217771528247676,0.212979715752433,0.208195250794824,0.203394563845665,0.198569319763271,0.193757373853267,0.189003654304513,0.184349299208465,0.179835742683977,0.175496422951766,0.171332491943401,0.167316212161068,0.163405986421297,0.159558853369682,0.155735872165416,0.151906999463291,0.148052303063664,0.144168093079318,0.140262298219551,0.136353800359629,0.132464803543289,0.128612723792088,0.12481395787578,0.121084187185579
"80",0.429382153799968,0.424577321592231,0.419784545873181,0.414990812568459,0.410183948326802,0.405359111210673,0.400533177357633,0.395715975375968,0.390914657912898,0.386136867221619,0.381390255253156,0.376682685694128,0.372024362206084,0.367425618298939,0.362901025688277,0.358474553740674,0.354158636938456,0.34994518219585,0.345807412980105,0.341717367903853,0.337660631691927,0.333634856082757,0.329641318165266,0.325682732523176,0.321762763825593,0.317883877923178,0.314042396009357,0.310233681697676,0.306453447517156,0.302697085862953,0.298961120194701,0.295247550725335,0.291562422705719,0.287913364676682,0.284307872708239,0.280752341419148,0.27725154961568,0.273808321005009,0.27042235309941,0.26709157646212,0.263812108105904,0.260579750424269,0.257391166748322,0.254243648419587,0.251134909485221
"85",0.567653793139858,0.566645355650199,0.565329239979289,0.563640073454418,0.56151431729079,0.558918067496305,0.555912642392449,0.552524655753952,0.548764929046823,0.544643710873738,0.540170938508947,0.535348540894977,0.530144573271722,0.524518670607866,0.518423983966443,0.511890711358487,0.505058773250945,0.49798693513202,0.490630649846721,0.482941232992325,0.474943724998584,0.466737585607117,0.458417053087887,0.450053963401383,0.441703518472756,0.433397309806564,0.425109375355858,0.416792596329093,0.408397218605851,0.399879663408703,0.391210982301157,0.382405877487605,0.37351017233588,0.364582419543845,0.355680984644849,0.346866668434981,0.338204673222349,0.32975850303139,0.321568853426273,0.313655697730478,0.306022597352453,0.298660053997746,0.291551644445399,0.284675557823822,0.278008094437157
"90",0.720649201987679,0.714846944481016,0.710467260422304,0.707615242951454,0.706393368475122,0.706726286234173,0.707941500108756,0.709619123033216,0.711446556971534,0.713111546357721,0.714322483932897,0.714831783571621,0.714270105367155,0.712235502265987,0.708115628100631,0.700881984098661,0.689981520308685,0.675654642446735,0.658872736810061,0.640723055348899,0.621913633241909,0.602902742138705,0.584004852750398,0.565414726853591,0.547225093285354,0.52948572832364,0.512343367570206,0.495908356027546,0.480247865274325,0.465431996170544,0.451502544857288,0.438360531958493,0.425810558177919,0.413595255857734,0.401462110313365,0.389209798415871,0.376692674836283,0.3638319490663,0.350634557898763,0.337170257612248,0.32357228722167,0.309998105619354,0.296586120391133,0.283441502761006,0.270651412109172
